NO.,KODE PUSK.,NAMA PUSKESMAS,ALAMAT,Kota_Kabupaten,PONED,JENIS PUSKESMAS,full_address,location,latitude,longitude
38,P3204150201,ARJASARI,"Jl. Raya Arjasari Ds. Arjasari, Kec. Arjasari",Bandung,,2,"Jl. Raya Arjasari Ds. Arjasari, Kec. Arjasari, Bandung, Indonesia","Jl. Raya Arjasari, Lebakwangi, Kec. Arjasari, Kabupaten Bandung, Jawa Barat 40379, Indonesia",-7.0449328,107.6089908
39,P3204150102,BANJARAN NAMBO DTP,"Ds. Batukarut, Kec. Arjasari",Bandung,1.0,1,"Ds. Batukarut, Kec. Arjasari, Bandung, Indonesia","Batukarut, Arjasari, Bandung Regency, West Java, Indonesia",-7.0459926,107.5963782
40,P3204161201,NAGRAK,"Kmp Singkur Ds. Jatisari, Kec. Cangkuang",Bandung,,2,"Kmp Singkur Ds. Jatisari, Kec. Cangkuang, Bandung, Indonesia","Jl. Singkur, Jatisari, Kec. Cangkuang, Kabupaten Bandung, Jawa Barat 40238, Indonesia",-7.0625219,107.5539997
41,P3204160201,KIANGROKE,"Jl. Pangalengan Ds. Kiangroke, Kec. Banjaran",Bandung,,2,"Jl. Pangalengan Ds. Kiangroke, Kec. Banjaran, Bandung, Indonesia","Jl. Raya Pangalengan, Kiangroke, Kec. Banjaran, Kabupaten Bandung, Jawa Barat, Indonesia",-7.053889,107.5719776
42,P3204160202,BANJARAN,"Ds. Banjaran Kulon, Kec. Banjaran",Bandung,,2,"Ds. Banjaran Kulon, Kec. Banjaran, Bandung, Indonesia","Banjaran, Bandung Regency, West Java, Indonesia",-7.047687199999999,107.5836555
43,P3204170201,PAMEUNGPEUK,"Jl. Raya Banjaran Km 14 Ds. Sukasari, Kec. Pameungpeuk",Bandung,,2,"Jl. Raya Banjaran Km 14 Ds. Sukasari, Kec. Pameungpeuk, Bandung, Indonesia","Jl. Raya Banjaran Barat No.Km 14, RW.6, Sukasari, Kec. Pameungpeuk, Kabupaten Bandung, Jawa Barat 40376, Indonesia",-7.024748000000001,107.5944494
44,P3204180201,KATAPANG,"Jl. Terusan Kopo No. 20, Ds. Katapang, Kec. Katapang",Bandung,,2,"Jl. Terusan Kopo No. 20, Ds. Katapang, Kec. Katapang, Bandung, Indonesia","Jl. Terusan Kopo No.20, Katapang, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921, Indonesia",-7.010297599999999,107.5507283
45,P3204180202,SANGKAN HURIP,"Ds. Sukamukti, Kec. Katapang",Bandung,,2,"Ds. Sukamukti, Kec. Katapang, Bandung, Indonesia","Jl. Cibogo No.1, Sukamukti, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921, Indonesia",-7.003500499999999,107.5765505
46,P3204190201,SOREANG,"Ds. Pamekaran, Kec. Soreang",Bandung,,2,"Ds. Pamekaran, Kec. Soreang, Bandung, Indonesia","Kp cigembreng RT 03 RW 06 no 76, Pamekaran, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40912, Indonesia",-7.0232604,107.5211127
47,P3204190202,SUKAJADI,"Ds. Sukajadi, Kec. Soreang",Bandung,,2,"Ds. Sukajadi, Kec. Soreang, Bandung, Indonesia","Jl. Dahlia No.23, Cingcin, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40921, Indonesia",-7.0272463,107.5388578
48,P3204191201,KUTAWARINGIN,"Ds. Jatisari, Kec. Kutawaringin",Bandung,,2,"Ds. Jatisari, Kec. Kutawaringin, Bandung, Indonesia","Jatisari, Kutawaringin, Bandung Regency, West Java, Indonesia",-6.975504099999999,107.5179721
49,P3204191202,KOPO,"Ds. Kopo, Kec. Kutawaringin",Bandung,,2,"Ds. Kopo, Kec. Kutawaringin, Bandung, Indonesia","MIKO MALL, Jl. Raya Kopo Blok B 31 No.5 Lt. 1, Cirangrang, Kec. Babakan Ciparay, Kabupaten Bandung, Jawa Barat 40226, Indonesia",-6.960391,107.581376
50,P3204250201,MARGA ASIH,"Jl. Nanjung Ds. Margaasih, Kec. Margaasih",Bandung,1.0,2,"Jl. Nanjung Ds. Margaasih, Kec. Margaasih, Bandung, Indonesia","Jl. Nanjung, Kec. Margaasih, Kabupaten Bandung, Jawa Barat, Indonesia",-6.9310528,107.5402073
51,P3204250202,RAHAYU,"Jl. Cibolerang Ds. Rahayu, Kec. Margaasih",Bandung,,2,"Jl. Cibolerang Ds. Rahayu, Kec. Margaasih, Bandung, Indonesia","Jl. Cibolerang, Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218, Indonesia",-6.9628079,107.5597657
52,P3204260201,BIHBUL,"Jl. Kopo 14 Ds. Margahayu Tengah, Kec. Margahayu",Bandung,,2,"Jl. Kopo 14 Ds. Margahayu Tengah, Kec. Margahayu, Bandung, Indonesia","Jl. Raya Kopo No.14, Margahayu Tengah, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40225, Indonesia",-6.9618391,107.5786351
53,P3204260202,MARGAHAYU SELATAN,"Komp Margahayu Kencana Blok E4, Ds.Margahayu Sel., Kec. Margahayu",Bandung,,2,"Komp Margahayu Kencana Blok E4, Ds.Margahayu Sel., Kec. Margahayu, Bandung, Indonesia","Blk. E4, Mekar Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218, Indonesia",-6.9690053,107.5537058
54,P3204270201,DAYEUH KOLOT,"Jl. Raya Dayeuhkolot No. 423, Ds. Dayeuh Kolot, Kec. Dayeuh Kolot",Bandung,,2,"Jl. Raya Dayeuhkolot No. 423, Ds. Dayeuh Kolot, Kec. Dayeuh Kolot, Bandung, Indonesia","Jl. Raya Dayeuhkolot No.423, Dayeuhkolot, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40258, Indonesia",-6.9896686,107.6273354
55,P3204270202,CANGKUANG,"Jl. Cangkuang RT 02/ RW 07, Ds. Cangkuang Barat, Kec. Dayeuh Kolot",Bandung,,2,"Jl. Cangkuang RT 02/ RW 07, Ds. Cangkuang Barat, Kec. Dayeuh Kolot, Bandung, Indonesia","Jl. Cibogo Indah Jl. Cangkuang Kulon No.2, Cangkuang Kulon, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40227, Indonesia",-6.9738139,107.5946204
56,P3204280201,BOJONGSOANG,"Jl. Terusan Buah Batu Ds. Cipagalo, Kec. Bojongsoang",Bandung,,2,"Jl. Terusan Buah Batu Ds. Cipagalo, Kec. Bojongsoang, Bandung, Indonesia","Jl. Terusan Buah Batu, Cipagalo, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat, Indonesia",-6.9673508,107.6375513
57,P3204290201,CINUNUK,"Jl. Raya Cinunuk No. 209, Ds. Cinunuk, Kec. Cileunyi",Bandung,,2,"Jl. Raya Cinunuk No. 209, Ds. Cinunuk, Kec. Cileunyi, Bandung, Indonesia","Jl. Raya Cinunuk No.209, Cimekar, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40623, Indonesia",-6.9386562,107.7350187
58,P3204290202,CILEUNYI,"Jl. Raya Cileunyi Ds. Cileunyi Wetan, Kec. Cileunyi",Bandung,,2,"Jl. Raya Cileunyi Ds. Cileunyi Wetan, Kec. Cileunyi, Bandung, Indonesia","Jl. Raya Cileunyi, Cileunyi Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat, Indonesia",-6.9398342,107.7535199
59,P3204290203,CIBIRU HILIR,"Ds. Cibiru Hilir, Kec. Cileunyi",Bandung,,2,"Ds. Cibiru Hilir, Kec. Cileunyi, Bandung, Indonesia","Cibiru Hilir, Cileunyi, Bandung Regency, West Java, Indonesia",-6.968032099999999,107.7132895
60,P3204300201,CILENGKRANG,"Komp Pasir Jati Blok D, Ds. Jatiendah, Kec. Cilengkrang",Bandung,,2,"Komp Pasir Jati Blok D, Ds. Jatiendah, Kec. Cilengkrang, Bandung, Indonesia","Blk. D, Jatiendah, Kec. Cilengkrang, Kabupaten Bandung, Jawa Barat 40616, Indonesia",-6.906132,107.6999744
61,P3204310201,CIMENYAN,"Jl. Padasuka Ds. Cimenyan, Kec. Cimenyan",Bandung,,2,"Jl. Padasuka Ds. Cimenyan, Kec. Cimenyan, Bandung, Indonesia","Jl. Padasuka, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat, Indonesia",-6.8884485,107.6603545
62,P3204310202,CIBEUNYING,"Jl. Majalaya, Ds. Cibeunying, Kec. Cimenyan",Bandung,,2,"Jl. Majalaya, Ds. Cibeunying, Kec. Cimenyan, Bandung, Indonesia","Jl. Majalaya 9, Antapani Wetan, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9136898,107.6638337
1,P3205010101,CISEWU DTP,"Jl. Puswakbakti No.13, Ds. Cisewu, Kec. Cisewu",Garut,1.0,1,"Jl. Puswakbakti No.13, Ds. Cisewu, Kec. Cisewu, Garut, Indonesia","Cisewu, Garut Regency, West Java, Indonesia",-7.3615832,107.497265
2,P3205011201,SUKA RAME,"Jl. Rancabuaya, Ds. Purbayani, Kec. Caringin",Garut,1.0,2,"Jl. Rancabuaya, Ds. Purbayani, Kec. Caringin, Garut, Indonesia","Jl. Ranca Buaya, Purbayani, Kec. Caringin, Kabupaten Garut, Jawa Barat, Indonesia",-7.5000389,107.5000681
3,P3205020201,TALEGONG,"Jl. Talegong, Ds. Sukamulya, Kec. Talegong",Garut,1.0,2,"Jl. Talegong, Ds. Sukamulya, Kec. Talegong, Garut, Indonesia","Jl. Raya Talegong, Sukamulya, Kec. Talegong, Kabupaten Garut, Jawa Barat, Indonesia",-7.2883017,107.5269985
4,P3205030101,BUNGBULANG DTP,"Jl. Garuda, Ds. Bungbulang, Kec. Bungbulang",Garut,1.0,1,"Jl. Garuda, Ds. Bungbulang, Kec. Bungbulang, Garut, Indonesia","Jl. Garuda, Bungbulang, Kec. Bungbulang, Kabupaten Garut, Jawa Barat 44165, Indonesia",-7.456006,107.5998837
5,P3205050101,SINDANGRATU DTP,"Jl. Raya Bungbulan Km.65, Ds. Jatiwangi, Kec. Pakenjeng",Garut,1.0,1,"Jl. Raya Bungbulan Km.65, Ds. Jatiwangi, Kec. Pakenjeng, Garut, Indonesia","Jl. Raya Bungbulang, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat, Indonesia",-7.4507684,107.6436
6,P3205031201,MEKARMUKTI,"Jl. Raya Pantai Cijayana, Ds.Mekarmukti, Kec. Mekarmukti",Garut,,2,"Jl. Raya Pantai Cijayana, Ds.Mekarmukti, Kec. Mekarmukti, Garut, Indonesia","Jl. Raya Pantai Cijayana, Mekarmukti, Kec. Mekarmukti, Kabupaten Garut, Jawa Barat, Indonesia",-7.5009318,107.5788327
7,P3205040201,PAMULIHAN,"Jl. Raya Pakenjeng, Ds. Pakenjeng, Kec. Pamulihan",Garut,,2,"Jl. Raya Pakenjeng, Ds. Pakenjeng, Kec. Pamulihan, Garut, Indonesia","Pakenjeng, Pamulihan, Garut Regency, West Java, Indonesia",-7.3737257,107.7103291
8,P3205040202,CISANDAAN,"Jl. Raya Bungbulang, Ds. Pamulihan, Kec. Pamulihan",Garut,,2,"Jl. Raya Bungbulang, Ds. Pamulihan, Kec. Pamulihan, Garut, Indonesia","Jl. Raya Bungbulang KP. DANGDEUR No.DS, JATI WANGI, Kec. Pakenjeng, Kabupaten Garut, Jawa Barat, Indonesia",-7.456045,107.5997796
9,P3205060201,CIKELET,"Jl. Raya Cikelet, Ds. Cikelet, Kec. Cikelet",Garut,1.0,2,"Jl. Raya Cikelet, Ds. Cikelet, Kec. Cikelet, Garut, Indonesia","Jl. Raya Cikelet, Cikelet, Kec. Cikelet, Kabupaten Garut, Jawa Barat 44177, Indonesia",-7.6144502,107.6772682
10,P3205060202,CIMARI,"Ds. Cigadog, Kec. Cikelet",Garut,,2,"Ds. Cigadog, Kec. Cikelet, Garut, Indonesia","Cigadog, Cikelet, Garut Regency, West Java, Indonesia",-7.5783918,107.6570475
11,P3205070101,PEMEUNGPEUK DTP,"Jl. Raya Pameungpeuk No. 21-23, Ds. Mandalakasih, Kec. Pamengpeuk",Garut,1.0,1,"Jl. Raya Pameungpeuk No. 21-23, Ds. Mandalakasih, Kec. Pamengpeuk, Garut, Indonesia","Jl. Raya Pameungpeuk No.21, Paas, Kec. Pameungpeuk, Kabupaten Garut, Jawa Barat 44175, Indonesia",-7.6409831,107.7325797
12,P3205080201,CIBALONG,"Jl. Raya Miramareu, Ds. Karyasari, Kec. Cibalong",Garut,1.0,2,"Jl. Raya Miramareu, Ds. Karyasari, Kec. Cibalong, Garut, Indonesia","Jl. Miramareu, Karyasari, Kec. Cibalong, Kabupaten Garut, Jawa Barat, Indonesia",-7.6748443,107.7834044
13,P3205080202,MAROKO,"Ds. Maroko, Kec. Cibalong",Garut,,2,"Ds. Maroko, Kec. Cibalong, Garut, Indonesia","Maroko, Cibalong, Garut Regency, West Java, Indonesia",-7.6174516,107.902819
14,P3205090201,CISOMPET,"Jl. Raya Cisompet No.74, Ds. Cisompet, Kec. Cisompet",Garut,1.0,2,"Jl. Raya Cisompet No.74, Ds. Cisompet, Kec. Cisompet, Garut, Indonesia","Jl. Raya Cisompet No.74, Cisompet, Kec. Cisompet, Kabupaten Garut, Jawa Barat 44174, Indonesia",-7.548691199999999,107.8127623
15,P3205100201,PEUNDEUY,"Jl. Peundeuy, Ds. Peundeuy, Kec. Peundeuy",Garut,1.0,2,"Jl. Peundeuy, Ds. Peundeuy, Kec. Peundeuy, Garut, Indonesia","Jl. Peundeuy, Kec. Cibalong, Kabupaten Garut, Jawa Barat 44176, Indonesia",-7.603651,107.916284
16,P3205110101,SINGA JAYA DTP,"Jl. Raya Singajaya, Ds. Singajaya, Kec. Singajaya",Garut,1.0,1,"Jl. Raya Singajaya, Ds. Singajaya, Kec. Singajaya, Garut, Indonesia","Singajaya, Kec. Singajaya, Kabupaten Garut, Jawa Barat, Indonesia",-7.4847517,107.8988527
17,P3205111201,CIHURIP,"Jl. Cihurip, Ds. Cihurip, Kec. Cihurip",Garut,,2,"Jl. Cihurip, Ds. Cihurip, Kec. Cihurip, Garut, Indonesia","Cihurip, Kec. Cihurip, Kabupaten Garut, Jawa Barat, Indonesia",-7.4925543,107.8590894
18,P3205120101,CIKAJANG DTP,"Jl. Raya Cihurip, Ds. Cikajang, Kec. Cikajang",Garut,1.0,1,"Jl. Raya Cihurip, Ds. Cikajang, Kec. Cikajang, Garut, Indonesia","Jl. Raya Cihurip, Kec. Cikajang, Kabupaten Garut, Jawa Barat, Indonesia",-7.4788207,107.8342517
19,P3205130201,BANJAR WANGI,"Jl. Raya Banjarwangi, Ds. Banjarwangi, Kec. Banjarwangi",Garut,,2,"Jl. Raya Banjarwangi, Ds. Banjarwangi, Kec. Banjarwangi, Garut, Indonesia","Jl. Raya Banjarwangi, Banjarwangi, Kec. Banjarwangi, Kabupaten Garut, Jawa Barat, Indonesia",-7.4376482,107.9043202
20,P3205140101,CILAWU DTP,"Jl. Raya Garut -Tasik No.73, Ds. Cilawu, Kec. Cilawu",Garut,1.0,1,"Jl. Raya Garut -Tasik No.73, Ds. Cilawu, Kec. Cilawu, Garut, Indonesia","Jl. Garut - Tasikmalaya No.73, Sukamaju, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181, Indonesia",-7.319356000000001,107.9334822
21,P3205140202,BOJONGLOA,"Jl. Raya Garut- Tasik Km.14, Ds. Sukamaju, Kec. Cilawu",Garut,,2,"Jl. Raya Garut- Tasik Km.14, Ds. Sukamaju, Kec. Cilawu, Garut, Indonesia","Jl. Garut - Tasikmalaya No.KM 14, Sukamaju, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181, Indonesia",-7.320155999999999,107.9324921
22,P3205150101,BAYONGBONG DTP,"Jl. Simpang No.193, Ds. Mulyasari, Kec. Bayongbong",Garut,1.0,1,"Jl. Simpang No.193, Ds. Mulyasari, Kec. Bayongbong, Garut, Indonesia","Jl. Raya Simpang No.193, Sukaresmi, Kec. Sukaresmi, Kabupaten Garut, Jawa Barat 44163, Indonesia",-7.266462100000001,107.8160862
23,P3205150202,CILIMUS,"Jl. Raya Bayongbong, Ds. Sukarame, Kec. Bayongbong",Garut,,2,"Jl. Raya Bayongbong, Ds. Sukarame, Kec. Bayongbong, Garut, Indonesia","Gg. Mesjid Kp. Babakan Pogor No.Ds, Sirnagalih, Kec. Bayongbong, Kabupaten Garut, Jawa Barat 44162, Indonesia",-7.248923599999999,107.877538
24,P3205151201,SUKAHURIP,"Jl. Raya Ciledug No.23, Ds. Sukahurip, Kec. Cigedug",Garut,,2,"Jl. Raya Ciledug No.23, Ds. Sukahurip, Kec. Cigedug, Garut, Indonesia","Jl. Ciledug No.23, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44117, Indonesia",-7.216569,107.9061442
25,P3205160101,CISURUPAN DTP,"Jl. Raya Cisurupan No. 27, Ds. Balewangi, Kec. Cisurupan",Garut,1.0,1,"Jl. Raya Cisurupan No. 27, Ds. Balewangi, Kec. Cisurupan, Garut, Indonesia","Jalur Kereta Api Garut - Cikajang No.27, RW.2, Cisurupan, Kec. Cisurupan, Kabupaten Garut, Jawa Barat 44163, Indonesia",-7.3095348,107.7934055
26,P3205160202,PAKUWON,"Ds. Pakuwon, Kec. Cisurupan",Garut,,2,"Ds. Pakuwon, Kec. Cisurupan, Garut, Indonesia","Garut, Garut Kota, Garut Regency, West Java, Indonesia",-7.2157251,107.901989
27,P3205161201,SUKAMULYA,"Jl. Sukamulya, Ds. Sukamulya, Kec. Sukaresmi",Garut,1.0,2,"Jl. Sukamulya, Ds. Sukamulya, Kec. Sukaresmi, Garut, Indonesia","Sukamulya, Sukaresmi, Garut Regency, West Java, Indonesia",-7.2587037,107.8021158
28,P3205170201,SAMARANG,"Jl. Raya Samarang No.85, Ds. Samarang, Kec. Samarang",Garut,,2,"Jl. Raya Samarang No.85, Ds. Samarang, Kec. Samarang, Garut, Indonesia","Jl. Raya Samarang No.85, Samarang, Kec. Samarang, Kabupaten Garut, Jawa Barat 44161, Indonesia",-7.2208283,107.8379593
29,P3205170202,SUKAKARYA,Kec. Samarang,Garut,,2,"Kec. Samarang, Garut, Indonesia","Samarang, Garut Regency, West Java, Indonesia",-7.218311199999999,107.8412619
30,P3205171201,PADAWAAS,"Jl. Raya Pasirwangi, Ds. Padawaas, Kec. Pasirwangi",Garut,,2,"Jl. Raya Pasirwangi, Ds. Padawaas, Kec. Pasirwangi, Garut, Indonesia","Jl. Raya Pasirwangi, Pasirwangi, Kec. Pasirwangi, Kabupaten Garut, Jawa Barat 44161, Indonesia",-7.2157305,107.7838488
31,P3205171202,GADOG,"Jl. Raya Pasirwangi, Ds. Sirnajaya, Kec. Pasirwangi",Garut,,2,"Jl. Raya Pasirwangi, Ds. Sirnajaya, Kec. Pasirwangi, Garut, Indonesia","Jl. Raya Pasirwangi, Pasirwangi, Kec. Pasirwangi, Kabupaten Garut, Jawa Barat 44161, Indonesia",-7.2157305,107.7838488
32,P3205181201,HAUR PANGGUNG,"Jl. Guntur Melati, Ds. Haur Panggung, Kec. Tarogong Kidul",Garut,,2,"Jl. Guntur Melati, Ds. Haur Panggung, Kec. Tarogong Kidul, Garut, Indonesia","Jl. Guntur Melati, Haurpanggung, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat 44151, Indonesia",-7.2008511,107.9053978
33,P3205181202,KERSAMENAK,"Jl. Raya Cikamiri, Ds. Kersamenak, Kec. Tarogong Kidul",Garut,,2,"Jl. Raya Cikamiri, Ds. Kersamenak, Kec. Tarogong Kidul, Garut, Indonesia","Jl. Cikamiri, Kersamenak, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat, Indonesia",-7.2344744,107.8634363
34,P3205181203,PEMBANGUNAN,"Jl. Pembangunan No.216, Ds. Sukagalih, Kec. Tarogong Kidul",Garut,,2,"Jl. Pembangunan No.216, Ds. Sukagalih, Kec. Tarogong Kidul, Garut, Indonesia","Jl. Pembangunan No.216, Sukagalih, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat 44151, Indonesia",-7.205573999999999,107.8872997
35,P3205182201,CIPANAS,"Ds. Rancabango, Kec. Tarogong Kaler",Garut,,2,"Ds. Rancabango, Kec. Tarogong Kaler, Garut, Indonesia","Puri Dinar Lestari No.5 Blok G, Tj. Kamuning, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151, Indonesia",-7.161906999999999,107.9019057
36,P3205182102,TAROGONG DTP,"Jl. Suherman No.3, Ds. Tarogong, Kec. Tarogong Kaler",Garut,1.0,1,"Jl. Suherman No.3, Ds. Tarogong, Kec. Tarogong Kaler, Garut, Indonesia","Jl. Suherman Kp Pasir Pogor No.3, Jati, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151, Indonesia",-7.190262600000001,107.896909
37,P3205182203,MEKARWANGI,"Jl. Raya Samarang No.218, Ds. Mekarwangi, Kec. Tarogong Kaler",Garut,,2,"Jl. Raya Samarang No.218, Ds. Mekarwangi, Kec. Tarogong Kaler, Garut, Indonesia","Jl. Raya Samarang No.218, Mekarwangi, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151, Indonesia",-7.212150400000001,107.8473507
38,P3205190201,SILIWANGI,"Jl. Siliwangi No.13, Ds. Paminggir, Kec. Garut Kota",Garut,,2,"Jl. Siliwangi No.13, Ds. Paminggir, Kec. Garut Kota, Garut, Indonesia","Jl. Siliwangi No.13, Regol, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44114, Indonesia",-7.216807900000001,107.9033514
39,P3205190202,GUNTUR,"Jl. Guntur No.234,Ds. Sukamantri , Kec. Garut Kota",Garut,,2,"Jl. Guntur No.234,Ds. Sukamantri , Kec. Garut Kota, Garut, Indonesia","Jl. Guntur No.234, Kota Wetan, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44111, Indonesia",-7.214786099999999,107.9138899
40,P3205190203,PASUNDAN,"Jl. Pasundan No.104, Ds. Cimuncang, Kec. Garut Kota",Garut,,2,"Jl. Pasundan No.104, Ds. Cimuncang, Kec. Garut Kota, Garut, Indonesia","Jl. Pasundan No.104, Kota Kulon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44112, Indonesia",-7.2275485,107.9057757
41,P3205200201,KARANGPAWITAN,"Jl. Raya Karangpawitan, Ds. Karangpawitan, Kec. Karangpawitan",Garut,,2,"Jl. Raya Karangpawitan, Ds. Karangpawitan, Kec. Karangpawitan, Garut, Indonesia","Jl. Karangpawitan, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182, Indonesia",-7.2076933,107.9452858
42,P3205200202,KARANGMULYA,"Jl. Cibangban, Ds. Jatisari, Kec. Karangpawitan",Garut,,2,"Jl. Cibangban, Ds. Jatisari, Kec. Karangpawitan, Garut, Indonesia","Jl. Cibangban, Kec. Karangpawitan, Kabupaten Garut, Jawa Barat 44182, Indonesia",-7.2119139,107.9313874
43,P3205200203,CEMPAKA,"Ds. Lebakjaya, Kec. Karangpawitan",Garut,,2,"Ds. Lebakjaya, Kec. Karangpawitan, Garut, Indonesia","Lebakjaya, Karangpawitan, Garut Regency, West Java, Indonesia",-7.226930500000001,107.9331848
44,P3205210101,WANARAJA DTP,"Jl. Raya Wanaraja No.30, Ds. Wanaraja, Kec. Wanaraja",Garut,,1,"Jl. Raya Wanaraja No.30, Ds. Wanaraja, Kec. Wanaraja, Garut, Indonesia","Jl. Raya Wanaraja No.30, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44183, Indonesia",-7.1779978,107.9787814
45,P3205211201,GARAWANGSA,"Ds. Sukaratu, Kec. Sucinaraja",Garut,1.0,2,"Ds. Sukaratu, Kec. Sucinaraja, Garut, Indonesia","Sukaratu, Sucinaraja, Garut Regency, West Java, Indonesia",-7.1980434,107.993185
46,P3205212201,CIMARAGAS,"Jl. Raya Cibatu, Ds. Cimaragas, Kec. Pangatikan",Garut,,2,"Jl. Raya Cibatu, Ds. Cimaragas, Kec. Pangatikan, Garut, Indonesia","Jl. Cibatu, Cimaragas, Kec. Pangatikan, Kabupaten Garut, Jawa Barat, Indonesia",-7.1578549,107.9934787
47,P3205220201,SUKAWENING,"Jl. Sukawening No.18, Ds. Pasanggrahan, Kec. Sukawening",Garut,,2,"Jl. Sukawening No.18, Ds. Pasanggrahan, Kec. Sukawening, Garut, Indonesia","Raya Sukawening No.18, Pasanggrahan, Kec. Sukawening, Kabupaten Garut, Jawa Barat 44184, Indonesia",-7.1604654,108.0074176
48,P3205220202,SUKA MUKTI,"Jl. Raya Sukamukti, Ds. Sukamukti, Kec. Sukawening",Garut,,2,"Jl. Raya Sukamukti, Ds. Sukamukti, Kec. Sukawening, Garut, Indonesia","Sukamukti, Sukawening, Garut Regency, West Java, Indonesia",-7.158269499999999,108.0198557
49,P3205220203,MARIPARI,"Jl. Raya Cibatu Km. 4,5,  Ds. Maripari, Kec. Sukawening",Garut,1.0,2,"Jl. Raya Cibatu Km. 4,5,  Ds. Maripari, Kec. Sukawening, Garut, Indonesia","Jl. Raya Cihuni Cibatu, Maripari, Kec. Sukawening, Kabupaten Garut, Jawa Barat, Indonesia",-7.1391886,107.9892017
50,P3205221201,KARANGTENGAH,"Jl. Raya Cintamanik, Ds. Karangtengah,Kec. Karangtengah",Garut,,2,"Jl. Raya Cintamanik, Ds. Karangtengah,Kec. Karangtengah, Garut, Indonesia","Cintamanik, Karangtengah, Garut Regency, West Java, Indonesia",-7.1498547,108.0687579
51,P3205230201,SUKA SENANG,"Jl. H. Hasan Arif, Ds. Sukasenang, Kec. Banyuresmi",Garut,,2,"Jl. H. Hasan Arif, Ds. Sukasenang, Kec. Banyuresmi, Garut, Indonesia","warung, Jl. H. Hasan Arif No.ds, Sukasenang, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat 44191, Indonesia",-7.180202599999999,107.9299564
52,P3205230202,BAGENDIT,"Ds. Sukamukti, Kec. Banyuresmi",Garut,1.0,2,"Ds. Sukamukti, Kec. Banyuresmi, Garut, Indonesia","Sukamukti, Banyuresmi, Garut Regency, West Java, Indonesia",-7.159019,107.9368882
53,P3205230203,SUKARAJA,"Jl. Raya Warung Peuteuy, Ds. Sukaraja, Kec. Banyuresmi",Garut,,2,"Jl. Raya Warung Peuteuy, Ds. Sukaraja, Kec. Banyuresmi, Garut, Indonesia","Jl. Wr. Peuteuy, Sukaraja, Kec. Banyuresmi, Kabupaten Garut, Jawa Barat, Indonesia",-7.1473506,107.8990384
54,P3205240101,LELES DTP,"Jl. Pramuka No. 4, Ds. Leles, Kec. Leles",Garut,,1,"Jl. Pramuka No. 4, Ds. Leles, Kec. Leles, Garut, Indonesia","Jl. Pramuka No.4, Leles, Kec. Leles, Kabupaten Garut, Jawa Barat 44152, Indonesia",-7.1091224,107.8987549
55,P3205240202,LEMBANG,"Ds. Lembang, Kec. Leles",Garut,1.0,2,"Ds. Lembang, Kec. Leles, Garut, Indonesia","Lembang, Leles, Garut Regency, West Java, Indonesia",-7.117117599999999,107.8554249
56,P3205250201,LEUWIGOONG,"Jl. Raya Leuwigoong No.4, Ds. Lewigoong, Kec. Lewigoong",Garut,,2,"Jl. Raya Leuwigoong No.4, Ds. Lewigoong, Kec. Lewigoong, Garut, Indonesia","Jl. Raya Leuwigoong No.4, Cibiuk Kaler, Kec. Cibiuk, Kabupaten Garut, Jawa Barat 44193, Indonesia",-7.0667519,107.96332
57,P3205260101,CIBATU DTP,"Jl. Ki Hajardewantoro No.10, Ds. Cibatu, Kec. Cibatu",Garut,1.0,1,"Jl. Ki Hajardewantoro No.10, Ds. Cibatu, Kec. Cibatu, Garut, Indonesia","Jl. Ki Hajar Dewantara No.10, Keresek, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia",-7.0968028,107.9841551
